model,optimizer,learning_rate,hidden_units,best_val_accuracy,test_loss,test_accuracy
RMSprop,rmsprop,0.001,"(512,)",0.9789999723434448,0.07330738008022308,0.9776999950408936
Adam,adam,0.001,"(512,)",0.9764999747276306,0.0789722427725792,0.9745000004768372
Adam deeper,adam,0.001,"(256, 128)",0.9750000238418579,0.08467333763837814,0.9735999703407288
SGD lr=0.05,sgd,0.05,"(512,)",0.9570000171661377,0.19379037618637085,0.9447000026702881
SGD lr=0.001,sgd,0.001,"(512,)",0.8376666903495789,0.9748830199241638,0.819100022315979
